#,Group,Public ID,현재 제목,Engine,Level,핵심 옵션,SIGNAL,SELECT,MOVE,Family,Status,문제 요약,Root Mechanic,Variant,Evidence File,Recommended Next Action,Live CMS,CMS Match,Thumbnail,Guide Video,Asset Match,Backward Compatibility,Duplicate Type,Final Risk,Audit Confidence
11,reaction-cognition,reaction-cognition-l3-fruit-exp,전면단일 · 과일,basic,3,variantColorTheme=fruit,SIGNAL: 전면에 과일 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,Root rc-full.,rc-full,theme=fruit,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l3-fruit-exp/thumbnail.webp,HTTPS_URL https://youtu.be/vQqvujjZ7VQ | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
12,reaction-cognition,reaction-cognition-full-animal-18,전면단일 · 동물,basic,3,variantColorTheme=animal,SIGNAL: 전면에 동물 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,코어 ID.,rc-full,theme=animal,officialSpomovePresets.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-full-animal-18/thumbnail.webp,HTTPS_URL https://youtu.be/4NY_WgOf73s | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
13,reaction-cognition,reaction-cognition-l3-food-exp,전면단일 · 음식,basic,3,variantColorTheme=food,SIGNAL: 전면에 음식 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,Root rc-full.,rc-full,theme=food,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l3-food-exp/thumbnail.webp,HTTPS_URL https://youtu.be/GCWN3jtirDU | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
14,reaction-cognition,reaction-cognition-full-nature-19,전면단일 · 자연,basic,3,variantColorTheme=nature,SIGNAL: 전면에 자연 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,코어 ID.,rc-full,theme=nature,officialSpomovePresets.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-full-nature-19/thumbnail.webp,HTTPS_URL https://youtu.be/FHWdZ1jWC6I | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
15,reaction-cognition,reaction-cognition-l3-vehicle-exp,전면단일 · 탈 것,basic,3,variantColorTheme=vehicle,SIGNAL: 전면에 탈것 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,Root rc-full.,rc-full,theme=vehicle,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l3-vehicle-exp/thumbnail.webp,HTTPS_URL https://youtu.be/A5oeU2ss5F8 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
16,reaction-cognition,reaction-cognition-l3-mix-exp,전면단일 · 믹스,basic,3,variantColorTheme=mix,SIGNAL: 전면에 믹스 이미지+색.,SELECT: 이미지 색.,MOVE: 해당 색 패드로 이동한다.,reaction-full,PASS,Root rc-full.,rc-full,theme=mix,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l3-mix-exp/thumbnail.webp,HTTPS_URL https://youtu.be/9eAoYA27Oic | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
17,reaction-cognition,reaction-cognition-split-color-04,2분할 · 색상,basic,4,variantColorTheme=color,SIGNAL: 좌우 두 패널에 서로 다른 색(또는 이미지)이 동시에 제시된다.,SELECT: 두 패널의 색.,MOVE: 해당 색 패드들로 이동한다(양측).,reaction-split,PASS,basic L4 variantTier 3.,rc-split,theme=color,signals.ts basic_variant_color,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-split-color-04/thumbnail.webp,HTTPS_URL https://youtu.be/wjVkl8BuRQw | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
18,reaction-cognition,reaction-cognition-l4-fruit-exp,2분할 · 과일,basic,4,variantColorTheme=fruit,SIGNAL: 좌우 패널에 과일 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=fruit,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-fruit-exp/thumbnail.webp,HTTPS_URL https://youtu.be/RmhDRc6703Q | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
19,reaction-cognition,reaction-cognition-l4-animal-exp,2분할 · 동물,basic,4,variantColorTheme=animal,SIGNAL: 좌우 패널에 동물 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=animal,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-animal-exp/thumbnail.webp,HTTPS_URL https://youtu.be/52b95fjjZ8Y | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
20,reaction-cognition,reaction-cognition-l4-food-exp,2분할 · 음식,basic,4,variantColorTheme=food,SIGNAL: 좌우 패널에 음식 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=food,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-food-exp/thumbnail.webp,HTTPS_URL https://youtu.be/bLYWPFghs2w | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
21,reaction-cognition,reaction-cognition-l4-nature-exp,2분할 · 자연,basic,4,variantColorTheme=nature,SIGNAL: 좌우 패널에 자연 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=nature,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-nature-exp/thumbnail.webp,HTTPS_URL https://youtu.be/LkIIZKD5pEg | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
22,reaction-cognition,reaction-cognition-l4-vehicle-exp,2분할 · 탈 것,basic,4,variantColorTheme=vehicle,SIGNAL: 좌우 패널에 탈것 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=vehicle,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-vehicle-exp/thumbnail.webp,HTTPS_URL https://youtu.be/_hgFCy9Izcs | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
23,reaction-cognition,reaction-cognition-l4-mix-exp,2분할 · 믹스,basic,4,variantColorTheme=mix,SIGNAL: 좌우 패널에 믹스 이미지.,SELECT: 두 이미지 색.,MOVE: 해당 색 패드들로 이동한다.,reaction-split,PASS,Root rc-split.,rc-split,theme=mix,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/reaction-cognition-l4-mix-exp/thumbnail.webp,HTTPS_URL https://youtu.be/6M77_Thj8bI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
24,visual-reaction,visual-reaction-flash-33,시지각 반응 · 풍선 터뜨리기,reactTrain,3,variant=flash,SIGNAL: 색 풍선이 낙하해 하단 가시에 닿는다.,SELECT: 가시에 닿는 순간의 풍선 색.,MOVE: 해당 색 패드로 반응한다.,visual-flash,PASS,EngineRouter reactTrain L3 → VisualReactionTraining flash.,vr-flash,base,EngineRouter.tsx + VisualReactionTraining.tsx,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-flash-33/thumbnail.png,HTTPS_URL https://youtu.be/BzafDweb7xA | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,DISTINCT,P2,MEDIUM
25,visual-reaction,visual-reaction-rush-39,시지각 반응 · 파도 피하기,reactTrain,1,RushReactionTraining,SIGNAL: 색 세그먼트가 히트라인으로 밀려온다.,SELECT: 히트라인에 닿는 세그먼트 색.,MOVE: 해당 색 패드로 반응한다(회피 동작이 엔진 규칙이 아님).,visual-rush,WARN,제목 파도 피하기 vs 색 패드 반응.,vr-rush,base,RushReactionTraining.tsx,네이밍 정리,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-rush-39/thumbnail.webp,HTTPS_URL https://youtu.be/4HhPWsi034U | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,DISTINCT,P2,MEDIUM
26,visual-reaction,visual-reaction-flow-2x-31,시지각 반응 · 떨어지는 벽돌,reactTrain,2,reactTrainConcurrent=2 variant=flow,SIGNAL: 색 벽돌이 동시에 최대 2개 낙하.,SELECT: 히트하는 벽돌 색(들).,MOVE: 해당 색 패드로 반응한다.,visual-flow,PASS,concurrent 전달 확인.,vr-flow,concurrent=2,EngineRouter VisualReactionTraining flow,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-flow-2x-31/thumbnail.webp,HTTPS_URL https://youtu.be/N89Gl3CwBIg | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,DISTINCT,P2,MEDIUM
27,visual-reaction,visual-reaction-mole-l1,시지각 반응 · 두더지 잡기,reactTrain,6,moleLookMode=classic + session difficulty,SIGNAL: 구멍에서 색 두더지가 팝업(쉬움 1마리).,SELECT: 두더지 색.,MOVE: 해당 색 패드로 이동/반응.,visual-mole,WARN,세션에서 classic/variant를 바꿀 수 있어 카드 칩과 실행이 달라질 수 있음.,vr-mole,look=classic,RobloxMoleReactionTraining.tsx + spomoveDifficulty.ts,세션 난이도와 카탈로그 이중 채널 정리,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-mole-l1/thumbnail.webp,HTTPS_URL https://youtu.be/IrIJvbbboC8 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
28,visual-reaction,visual-reaction-mole-normal-skeleton,시지각 반응 · 두더지 잡기 · 보통,reactTrain,6,moleLookMode=variant,SIGNAL: 변형 룩 두더지 1~2마리.,SELECT: 두더지 색.,MOVE: 해당 색 패드로 반응.,visual-mole,PASS,mole L1의 VARIANT.,vr-mole,look=variant,officialSpomovePresetExpansion.ts,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-mole-normal-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/fT40-SKzbP4 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
29,visual-reaction,visual-reaction-goalkeeper-easy-skeleton,시지각 반응 · 축구 : 골키퍼 · 쉬움,reactTrain,10,goalkeeperTier=1,SIGNAL: 공이 코너로 비행(항상 1개 커브 가능).,SELECT: 도착 코너 색.,MOVE: 해당 코너 색 패드로 반응.,visual-goalkeeper,PASS,tier1.,vr-gk,tier=1,GoalkeeperReactionTraining.tsx,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-goalkeeper-easy-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/nsFl2MPuKWY | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
30,visual-reaction,visual-reaction-goalkeeper-42,시지각 반응 · 골키퍼 모드,reactTrain,10,goalkeeperTier=2 duration>=120s,SIGNAL: 1~2개 공이 코너로 비행.,SELECT: 도착 코너 색.,MOVE: 해당 코너 색 패드로 반응.,visual-goalkeeper,WARN,세션 difficulty로 tier 변경 가능. 제목 불균일(쉬움 ID와).,vr-gk,tier=2,EngineRouter.tsx goalkeeper,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-goalkeeper-42/thumbnail.webp,HTTPS_URL https://youtu.be/O2YKFcMVYrI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
31,visual-reaction,visual-reaction-hand-foot-easy-skeleton,시지각 반응 · 손 따로 발 따로 · 쉬움,basic,7,handFootDifficulty=easy,SIGNAL: 사분할에 발 자극 1개(색+부위 아이콘).,SELECT: 색과 발 부위.,MOVE: 해당 패드에 지정 발을 놓는다.,visual-flow,WARN,Family가 visual-flow. 실제는 basic L7. HOLD mq1과 메커니즘 유사.,rc-handfoot,easy,signals.ts think_quad_body L7,Family 재분류 후보,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-hand-foot-easy-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/WmN-GN4mNRw | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
32,visual-reaction,visual-reaction-hand-foot-normal-skeleton,시지각 반응 · 손 따로 발 따로 · 보통,basic,7,handFootDifficulty=normal,SIGNAL: 발+손 1~2세포.,SELECT: 각 세포의 색과 손/발.,MOVE: 해당 패드에 손·발을 분리 접촉.,visual-flow,WARN,Family visual-flow. HOLD mq2는 L8로 규칙이 다름(이관 예정 문구).,rc-handfoot,normal,signals.ts L7 probabilities,Family 재분류 후보,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-hand-foot-normal-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/JpXNBeimtN4 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
33,visual-reaction,visual-reaction-hand-foot-hard-skeleton,시지각 반응 · 손 따로 발 따로 · 어려움,basic,7,handFootDifficulty=hard,SIGNAL: 1~3개 손발 세포.,SELECT: 색+부위 조합.,MOVE: 동시에 해당 패드에 손·발 배치.,visual-flow,WARN,Family visual-flow. HOLD mq3는 L9.,rc-handfoot,hard,signals.ts L7 hard,Family 재분류 후보,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/visual-reaction-hand-foot-hard-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/adjll1h10bI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
34,simon,simon-pole-arrows-41,사이먼 이펙트 · 화살표 · 보통,simon,2,simonPoleCount=1,SIGNAL: 화면 극단에 큰 화살표 1개.,SELECT: 나타난 위치가 아니라 화살표 방향.,MOVE: 해당 방향 패드로 이동한다.,simon-pole,PASS,createSimonSignalGenerator L2=화살표. 주석의 1번=화살표는 구버전.,simon-arrow,count=1,signals.ts createSimonSignalGenerator L2,주석 정리(코드 수정은 2단계),PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-pole-arrows-41/thumbnail.png,HTTPS_URL https://youtu.be/ixtPxST1Jwo | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
35,simon,simon-arrow-hard-skeleton,사이먼 이펙트 · 화살표 · 어려움,simon,2,simonPoleCount=2,SIGNAL: 반대 극단 화살표 2개 동시.,SELECT: 각 화살표 방향(위치 무시).,MOVE: 해당 방향 패드들로 반응.,simon-pole,WARN,세션 simonPole 난이도가 같은 ID를 1↔2로 바꿀 수 있음.,simon-arrow,count=2,EngineRouter simonPoleCount,카탈로그 vs 세션 난이도 이중 채널,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-arrow-hard-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/oWfh639f6hk | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
36,simon,simon-pole-shape-06,사이먼 이펙트 · 도형 · 보통,simon,1,simonPoleCount=1,SIGNAL: 극단에 색 도형(원/삼각/사각) 1개.,SELECT: 위치가 아니라 도형 색.,MOVE: 해당 색 패드로 이동한다.,simon-pole,PASS,L1=도형색. 파일 설명과 코드 일치.,simon-shape,count=1,createSimonSignalGenerator L1,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-pole-shape-06/thumbnail.png,HTTPS_URL https://youtu.be/ZlQNtxuMYbI | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
37,simon,simon-shape-hard-skeleton,사이먼 이펙트 · 도형 · 어려움,simon,1,simonPoleCount=2,SIGNAL: 극단 색 도형 2개.,SELECT: 각 도형 색.,MOVE: 해당 색 패드들로 반응.,simon-pole,WARN,세션 overlay로 보통 ID와 교차 가능.,simon-shape,count=2,expansion skeleton,이중 채널 정리,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-shape-hard-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/6q5WbF45fs0 | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
38,simon,simon-balloon-flash-05,사이먼 이펙트 · 풍선 · 보통,simon,5,EngineRouter→balloonSimon concurrent=1,SIGNAL: 화면 임의 위치에 색 풍선이 순간 등장(바늘 없음).,SELECT: 풍선 색(위치 아님).,MOVE: 해당 색 패드로 이동.,simon-balloon,PASS,simon L5는 MemoryGame가 아니라 VisualReaction balloonSimon.,simon-balloon,concurrent=1,EngineRouter.tsx simon level 5,none,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-balloon-flash-05/thumbnail.webp,HTTPS_URL https://youtu.be/Nzh2m9xt10Y | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P2,MEDIUM
39,simon,simon-balloon-hard-skeleton,사이먼 이펙트 · 풍선 · 어려움,simon,5,simonPoleCount=2 → concurrent=2,SIGNAL: 풍선 자극 최대 2개.,SELECT: 각 풍선 색.,MOVE: 해당 색 패드 반응.,simon-balloon,WARN,세션 simonPole이 balloon concurrent를 바꿈.,simon-balloon,concurrent=2,EngineRouter concurrent,이중 채널,PRESENT published (published),MATCH,PRESENT spokedu-master/spomove-thumbnails/simon-balloon-hard-skeleton/thumbnail.webp,HTTPS_URL https://youtu.be/az8I4gZfeQY | VIDEO CONTENT VERIFY REQUIRED | non-admin signed-url 503 가능,ASSET VERIFY REQUIRED,NO,VARIANT,P1,MEDIUM
