sortOrder,presetId,title,programGroup,axis,engineMode,engineLevel,engineOptionsJson,activityFamilyId,movementProfileId,theme,rounds,cueSeconds,isReady,description,recommendedUse,runtimeSignature,mechanicSignature,themeSignature,stageSignature
11,reaction-cognition-mq1-32,"(보류) 손 따로, 발 따로 · 쉬움",reaction-cognition,response,basic,7,"{""variantColorTheme"":""color"",""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}",reaction-variant-foot,variantFootFixed,color,20,5,true,색상 자극과 신체 부위(발)가 함께 제시될 때 해당 패드에 발을 접촉하는 활동,"심화 반응, 집중력, 변형 사분할","v1|{""cueSeconds"":5,""level"":7,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true,""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":7,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}}",v1|theme=color,"v1|{""bodyLabelMode"":""easy"",""cueSeconds"":5,""level"":7,""rounds"":20}"
12,reaction-cognition-mq2-33,"(보류) 손 따로, 발 따로 · 보통",reaction-cognition,response,basic,8,"{""variantColorTheme"":""color"",""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}",reaction-variant-body-cue,bodyCueBuiltIn,color,20,5,true,색상 1~3개와 신체 부위(발·손)가 함께 제시될 때 해당 패드로 이동하는 활동,"심화 반응, 집중력, 변형 사분할","v1|{""cueSeconds"":5,""level"":8,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true,""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":8,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}}",v1|theme=color,"v1|{""bodyLabelMode"":""easy"",""cueSeconds"":5,""level"":8,""rounds"":20}"
13,reaction-cognition-mq3-34,"(보류) 손 따로, 발 따로 · 어려움",reaction-cognition,response,basic,9,"{""variantColorTheme"":""color"",""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}",reaction-variant-body-cue,bodyCueBuiltIn,color,20,5,true,3색에 손·발이 혼합 배정될 때 규칙에 맞게 패드로 이동하는 활동,"심화 반응, 집중력, 변형 사분할","v1|{""cueSeconds"":5,""level"":9,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true,""variantColorTheme"":""color""},""rounds"":20,""theme"":""color""}","v1|{""level"":9,""mode"":""basic"",""options"":{""bodyLabelMode"":""easy"",""hideBodyLabelModeControls"":true}}",v1|theme=color,"v1|{""bodyLabelMode"":""easy"",""cueSeconds"":5,""level"":9,""rounds"":20}"
14,visual-reaction-flash-33,시지각 반응 · 풍선 터뜨리기,visual-reaction,response,reactTrain,3,{},visual-flash,visualSearch,none,20,3,true,화면 어디서든 떨어지는 색 풍선이 하단 가시에 닿을 때 해당 색으로 반응하는 시지각 반응 활동,"낙하 추적, 가시 접촉 타이밍, 시각 각성","v1|{""cueSeconds"":3,""level"":3,""mode"":""reactTrain"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":3,""mode"":""reactTrain"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
15,visual-reaction-rush-39,시지각 반응 · 파도 피하기,visual-reaction,response,reactTrain,1,{},visual-rush,visualSearch,none,20,3,true,파도처럼 빠르게 쏟아지는 자극에 연속으로 반응하는 초고속 시지각 반응 활동,"초고속 반응, 연속 자극 처리, 극한 집중","v1|{""cueSeconds"":3,""level"":1,""mode"":""reactTrain"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""reactTrain"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
16,visual-reaction-flow-2x-31,시지각 반응 · 떨어지는 벽돌,visual-reaction,response,reactTrain,2,"{""reactTrainConcurrent"":2}",visual-flow,visualSearch,none,20,3,true,떨어지는 벽돌처럼 색 자극이 동시에 2개씩 흘러내릴 때 빠르게 반응하는 시지각 반응 활동,"시지각 분할, 동시 자극 처리, 반응력 강화","v1|{""cueSeconds"":3,""level"":2,""mode"":""reactTrain"",""options"":{""reactTrainConcurrent"":2},""rounds"":20,""theme"":""none""}","v1|{""level"":2,""mode"":""reactTrain"",""options"":{""reactTrainConcurrent"":2}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""reactTrainConcurrent"":2,""rounds"":20}"
17,visual-reaction-mole-l1,시지각 반응 · 두더지 잡기,visual-reaction,response,reactTrain,6,"{""moleLookMode"":""classic""}",visual-mole,visualSearch,none,20,3,true,화면 곳곳 구멍에서 색 두더지가 튀어나오면 같은 색 패드로 빠르게 반응하는 시지각 반응 활동,"순발력, 팝업 반응, 게임형 활동","v1|{""cueSeconds"":3,""level"":6,""mode"":""reactTrain"",""options"":{""moleLookMode"":""classic""},""rounds"":20,""theme"":""none""}","v1|{""level"":6,""mode"":""reactTrain"",""options"":{""moleLookMode"":""classic""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
18,visual-reaction-number-cart-l2,시지각 반응 · 숫자 연산 기차,visual-reaction,response,reactTrain,8,"{""numberCartTier"":1}",visual-number-cart,gameSpecific,none,5,3,true,숫자 연산 기차의 목표 숫자(또는 +-×÷ 식)를 보고 같은 답이 붙은 색 문으로 기차가 들어가는 시지각 반응 활동. 난이도 1/2/3은 세션에서 고릅니다.,"숫자·색 매칭, 사전 판단, 선택 반응","v1|{""cueSeconds"":3,""level"":8,""mode"":""reactTrain"",""options"":{""numberCartTier"":1},""rounds"":5,""theme"":""none""}","v1|{""level"":8,""mode"":""reactTrain"",""options"":{""numberCartTier"":1}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":8,""numberCartTier"":1,""rounds"":5}"
19,visual-reaction-color-tracker-l2,시지각 반응 · 흰 공 찾기,visual-reaction,response,reactTrain,9,"{""colorTrackerTier"":1,""colorTrackerDualPanel"":false}",visual-color-tracker,gameSpecific,none,5,3,true,흰 공을 끝까지 추적한 뒤 빨·노·초·파 구역 중 어디에 멈췄는지 맞추는 시지각 반응 활동. 난이도 보통/어려움과 속도 느림/빠름은 세션에서 고릅니다.,"시각 추적, 지속 주의, 다중 물체 추적","v1|{""cueSeconds"":3,""level"":9,""mode"":""reactTrain"",""options"":{""colorTrackerDualPanel"":false,""colorTrackerTier"":1},""rounds"":5,""theme"":""none""}","v1|{""level"":9,""mode"":""reactTrain"",""options"":{""colorTrackerDualPanel"":false,""colorTrackerTier"":1}}",v1|theme=none,"v1|{""colorTrackerTier"":1,""cueSeconds"":3,""level"":9,""rounds"":5}"
20,visual-reaction-goalkeeper-42,시지각 반응 · 골키퍼 모드,visual-reaction,response,reactTrain,10,"{""goalkeeperTier"":2}",visual-goalkeeper,visualSearch,none,20,3,true,"4코너로 날아오는 슛·커브볼·더블 블록을 끝까지 추적해 상단은 손, 하단은 발로 막는 시지각 반응 활동","전신 반응, 궤적 추적, 양손·양발 방어","v1|{""cueSeconds"":3,""level"":10,""mode"":""reactTrain"",""options"":{""goalkeeperTier"":2},""rounds"":20,""theme"":""none""}","v1|{""level"":10,""mode"":""reactTrain"",""options"":{""goalkeeperTier"":2}}",v1|theme=none,"v1|{""cueSeconds"":3,""goalkeeperTier"":2,""level"":10,""rounds"":20}"
21,simon-pole-shape-06,사이먼 효과 1번 · Pole Shape,simon,attention,simon,1,"{""simonPoleCount"":1}",simon-pole,choiceReaction,none,20,3,true,"도형이 나타난 위치에 끌려가지 않고, 도형의 색을 기준으로 반응하는 선택 반응 활동","위치 간섭 조절, 선택주의, 집중 반응","v1|{""cueSeconds"":3,""level"":1,""mode"":""simon"",""options"":{""simonPoleCount"":1},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""simon"",""options"":{""simonPoleCount"":1}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20,""simonPoleCount"":1}"
22,simon-pole-arrows-41,사이먼 효과 · Pole Arrows,simon,attention,simon,2,"{""simonPoleCount"":1}",simon-pole,choiceReaction,none,20,3,true,화살표 방향과 위치가 충돌할 때 위치가 아닌 화살표 색상에 반응하는 고급 선택 반응 활동,"위치-방향 간섭, 선택주의 심화, 집중 반응","v1|{""cueSeconds"":3,""level"":2,""mode"":""simon"",""options"":{""simonPoleCount"":1},""rounds"":20,""theme"":""none""}","v1|{""level"":2,""mode"":""simon"",""options"":{""simonPoleCount"":1}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20,""simonPoleCount"":1}"
23,visual-reaction-blackout-37,사이먼 효과 4번 · 매직 아이,simon,attention,simon,4,"{""camouflagePlacement"":""variant""}",visual-blackout,visualSearch,none,20,5,true,노이즈 속에 위장된 색 사물이 화면 극단에 드러날 때 해당 색을 찾는 선택 반응 활동,"고난도 집중, 색 변별, 극단 위치 탐지","v1|{""cueSeconds"":5,""level"":4,""mode"":""simon"",""options"":{""camouflagePlacement"":""variant""},""rounds"":20,""theme"":""none""}","v1|{""level"":4,""mode"":""simon"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":5,""level"":4,""rounds"":20}"
24,simon-balloon-flash-05,사이먼 효과 5번 · 풍선 사이먼,simon,attention,simon,5,{},simon-balloon,choiceReaction,none,20,3,true,화면 어디에나 나타나는 색 풍선이 터질 때 해당 색 위치로 이동하는 선택 반응 활동,"위치 간섭 조절, 순간 색 변별, 선택주의","v1|{""cueSeconds"":3,""level"":5,""mode"":""simon"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":5,""mode"":""simon"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
25,flanker-uniform-07,플랭커 1번 · Uniform Flankers,flanker,attention,flanker,1,{},flanker-uniform,choiceReaction,none,20,3,true,가로로 나란히 제시되는 다섯 원 중 가운데 목표 색에 반응하는 선택 반응 활동,"선택주의, 목표 집중, 방해 정보 조절","v1|{""cueSeconds"":3,""level"":1,""mode"":""flanker"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""flanker"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
26,flanker-random-43,플랭커 2번 · Random Flankers,flanker,attention,flanker,2,{},flanker-random,choiceReaction,none,20,3,true,무작위로 배치된 방해 자극 사이에서 목표 신호를 선택하는 반응 활동,"무작위 자극 처리, 선택주의 강화, 반응력","v1|{""cueSeconds"":3,""level"":2,""mode"":""flanker"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":2,""mode"":""flanker"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
27,flanker-5circle-46,플랭커 3번 · 5원 극단 크기,flanker,attention,flanker,3,{},flanker-5circle,choiceReaction,none,20,3,true,매우 큰 원과 매우 작은 원이 섞인 다섯 원에서 가운데 목표 색에 반응하는 플랭커 활동,"크기 극단 비교, 방해 자극 억제, 선택주의 훈련","v1|{""cueSeconds"":3,""level"":3,""mode"":""flanker"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":3,""mode"":""flanker"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
28,flanker-nested-circles-04,플랭커 4번 · 원 속의 원,flanker,attention,flanker,4,"{""flankerNestedCircleCount"":5}",flanker-nested,choiceReaction,none,20,3,true,동심으로 겹친 원들 중 가장 안쪽 목표 원을 보고 해당 색 위치로 반응하는 선택주의 플랭커 활동,"중첩 자극 처리, 목표 원 집중, 방해 정보 억제","v1|{""cueSeconds"":3,""level"":4,""mode"":""flanker"",""options"":{""flankerNestedCircleCount"":5},""rounds"":20,""theme"":""none""}","v1|{""level"":4,""mode"":""flanker"",""options"":{""flankerNestedCircleCount"":5}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
29,flanker-arrow-05,플랭커 5번 · 화살표 플랭커,flanker,attention,flanker,5,"{""flankerArrowMode"":""udlr""}",flanker-arrow,choiceReaction,none,20,3,true,다섯 화살표 중 가운데 방향만 보고 해당 방향으로 이동하는 화살표 플랭커 활동,"방향 방해 억제, 선택주의, 좌우 반응","v1|{""cueSeconds"":3,""level"":5,""mode"":""flanker"",""options"":{""flankerArrowMode"":""udlr""},""rounds"":20,""theme"":""none""}","v1|{""level"":5,""mode"":""flanker"",""options"":{""flankerArrowMode"":""udlr""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":5,""rounds"":20}"
30,flanker-theme-06,플랭커 6번 · 테마 플랭커,flanker,attention,flanker,6,"{""variantColorTheme"":""fruit""}",flanker-theme,choiceReaction,fruit,20,3,true,선택한 이미지 테마(색상·과일 등 7종)가 다섯 원 안에 나타날 때 가운데 원 색 위치로 반응하는 테마 플랭커 활동,"이미지 색 반응, 방해 억제, 선택주의","v1|{""cueSeconds"":3,""level"":6,""mode"":""flanker"",""options"":{""variantColorTheme"":""fruit""},""rounds"":20,""theme"":""fruit""}","v1|{""level"":6,""mode"":""flanker"",""options"":{""variantColorTheme"":""fruit""}}",v1|theme=fruit,"v1|{""cueSeconds"":3,""level"":6,""rounds"":20}"
31,stroop-arrow-reverse-08,스트룹 과제 1번 · 공간 방향 · 색상,stroop,executive,basic,1,"{""spatialArrowColorMode"":""color"",""spatialArrowColorMapping"":""compass""}",stroop-arrow,complexReaction,none,20,3,true,방향별 색이 채워진 화살표를 보고 해당 방향 패드로 빠르게 이동하는 활동. 위 빨·좌 초·우 노·아래 파로 고정됩니다.,"방향 인지, 색-방향 연계, 수업 도입","v1|{""cueSeconds"":3,""level"":1,""mode"":""basic"",""options"":{""spatialArrowColorMapping"":""compass"",""spatialArrowColorMode"":""color""},""rounds"":20,""theme"":""none""}","v1|{""level"":1,""mode"":""basic"",""options"":{""spatialArrowColorMapping"":""compass"",""spatialArrowColorMode"":""color""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":20}"
32,stroop-arrow-bg-47,스트룹 과제 · Arrow BG,stroop,executive,stroop,2,{},stroop-arrow,complexReaction,none,20,3,true,배경 색상과 화살표 방향이 충돌할 때 화살표 규칙에 따라 반응하는 복합 반응 활동,"색상-방향 충돌 처리, 규칙 우선 반응, 실행력 강화","v1|{""cueSeconds"":3,""level"":2,""mode"":""stroop"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":2,""mode"":""stroop"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""rounds"":20}"
33,stroop-word-reverse-48,스트룹 과제 · Word Reverse,stroop,executive,stroop,3,{},stroop-word,complexReaction,none,20,3,true,단어 의미와 반대되는 규칙에 따라 반응하는 언어-운동 복합 반응 활동,"언어 간섭 처리, 규칙 역전, 실행력 심화","v1|{""cueSeconds"":3,""level"":3,""mode"":""stroop"",""options"":{},""rounds"":20,""theme"":""none""}","v1|{""level"":3,""mode"":""stroop"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":20}"
34,stroop-word-bg-49,스트룹 과제 · 단어+배경,stroop,executive,stroop,4,"{""stroopWordMode"":""bg""}",stroop-word,complexReaction,none,20,3,true,배경 색상과 단어 의미가 충돌할 때 단어 규칙을 따라 반응하는 복합 반응 활동,"언어-색상 충돌 처리, 실행 제어, 심화 훈련","v1|{""cueSeconds"":3,""level"":4,""mode"":""stroop"",""options"":{""stroopWordMode"":""bg""},""rounds"":20,""theme"":""none""}","v1|{""level"":4,""mode"":""stroop"",""options"":{""stroopWordMode"":""bg""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
35,stroop-missing-color-50,스트룹 과제 · 누락 색상 찾기,stroop,executive,stroop,4,"{""stroopWordMode"":""missing""}",stroop-missing,complexReaction,none,20,3,true,글자·잉크·배경에 쓰인 세 색을 제외한 남은 색을 찾아 말하는 활동,"탐색적 실행 제어, 빠진 정보 탐지, 고급 집중력","v1|{""cueSeconds"":3,""level"":4,""mode"":""stroop"",""options"":{""stroopWordMode"":""missing""},""rounds"":20,""theme"":""none""}","v1|{""level"":4,""mode"":""stroop"",""options"":{""stroopWordMode"":""missing""}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":4,""rounds"":20}"
36,sequential-memory-3color-09,순차 기억 1번 · 3 Color Memory,sequential-memory,executive,spatial,1,{},sequential-memory,sequentialMemory,none,10,3,true,차례로 제시되는 색 3개의 순서를 기억하고 몸으로 재현하는 기억 수행 활동,"순서 기억, 작업기억, 차분한 마무리 활동","v1|{""cueSeconds"":3,""level"":1,""mode"":""spatial"",""options"":{},""rounds"":10,""theme"":""none""}","v1|{""level"":1,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":1,""rounds"":10}"
37,sequential-memory-5color-51,순차 기억 · 5 Color Memory,sequential-memory,executive,spatial,2,{},sequential-memory,sequentialMemory,none,10,3,true,차례로 제시되는 색 5개의 순서를 기억하고 몸으로 재현하는 기억 수행 활동,"순서 기억, 작업기억 확장, 집중 마무리 활동","v1|{""cueSeconds"":3,""level"":2,""mode"":""spatial"",""options"":{},""rounds"":10,""theme"":""none""}","v1|{""level"":2,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":2,""rounds"":10}"
38,sequential-memory-10color-52,순차 기억 · 추가(3→7),sequential-memory,executive,spatial,3,{},sequential-memory,sequentialMemory,none,5,3,true,5라운드 동안 색 항 수가 3→7개로 늘어나는 색 순서 기억 활동,"점증 순서 기억, 작업기억 심화, 고급 마무리 활동","v1|{""cueSeconds"":3,""level"":3,""mode"":""spatial"",""options"":{},""rounds"":5,""theme"":""none""}","v1|{""level"":3,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":3,""rounds"":5}"
39,sequential-memory-full-reveal-54,순차 기억 · Full Reveal,sequential-memory,executive,spatial,5,{},sequential-memory,sequentialMemory,none,10,3,true,전체 순서를 한 번에 보여준 후 재현하는 고급 전체 공개 기억 수행 활동,"전체 패턴 기억, 시각적 순서 인지, 극한 작업기억","v1|{""cueSeconds"":3,""level"":5,""mode"":""spatial"",""options"":{},""rounds"":10,""theme"":""none""}","v1|{""level"":5,""mode"":""spatial"",""options"":{}}",v1|theme=none,"v1|{""cueSeconds"":3,""level"":5,""rounds"":10}"
40,dive-standard,DIVE · 기본,dive,response,flow,1,"{""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowDuration"":20,""flowLayout"":""sequential"",""flowIncludeBonus"":false}",dive,diveBuiltIn,none,1,3,true,점프·펀치·킥·숙이기·벽 닿기를 순서대로 익히는 DIVE 기본 활동. 스테이지당 20초.,"전신 반응, DIVE 도입, 장애물 순차 학습","v1|{""cueSeconds"":3,""level"":1,""mode"":""flow"",""options"":{""flowDuration"":20,""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowIncludeBonus"":false,""flowLayout"":""sequential""},""rounds"":1,""theme"":""none""}","v1|{""level"":1,""mode"":""flow"",""options"":{""flowDuration"":20,""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowIncludeBonus"":false,""flowLayout"":""sequential""}}",v1|theme=none,"v1|{""cueSeconds"":3,""flowDuration"":20,""flowIncludeBonus"":false,""level"":1,""rounds"":1}"
41,dive-random,DIVE · 랜덤,dive,response,flow,1,"{""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowDuration"":60,""flowLayout"":""random""}",dive,diveBuiltIn,none,1,3,true,모든 장애물이 무작위로 등장하는 1분 DIVE 챌린지 활동,"종합 전신 반응, 챌린지, 수업 클라이맥스","v1|{""cueSeconds"":3,""level"":1,""mode"":""flow"",""options"":{""flowDuration"":60,""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowLayout"":""random""},""rounds"":1,""theme"":""none""}","v1|{""level"":1,""mode"":""flow"",""options"":{""flowDuration"":60,""flowFeatures"":[""punch"",""kick"",""duck"",""reach""],""flowLayout"":""random""}}",v1|theme=none,"v1|{""cueSeconds"":3,""flowDuration"":60,""level"":1,""rounds"":1}"
42,dive-color-gate-61,DIVE · Color Gate,dive,response,flow,2,"{""flowFeatures"":[""colorGate""],""flowDuration"":60,""flowLayout"":""sequential""}",dive,diveBuiltIn,none,1,3,true,DIVE 2단계: 빨·노·초·파 색 관문과 5가지 포즈(jump·kick·side-squat·lunge-reach·star)를 수행하는 활동,"색상 반응, 포즈 전환, DIVE 2단계","v1|{""cueSeconds"":3,""level"":2,""mode"":""flow"",""options"":{""flowDuration"":60,""flowFeatures"":[""colorGate""],""flowLayout"":""sequential""},""rounds"":1,""theme"":""none""}","v1|{""level"":2,""mode"":""flow"",""options"":{""flowDuration"":60,""flowFeatures"":[""colorGate""],""flowLayout"":""sequential""}}",v1|theme=none,"v1|{""cueSeconds"":3,""flowDuration"":60,""level"":2,""rounds"":1}"
