#,Group,Public ID,현재 제목,Engine,Level,핵심 옵션,SIGNAL,SELECT,MOVE,Family,CMS,Asset,Status,Risk,문제 요약,Root Mechanic,Variant,Backward Compatibility,Evidence File,Recommended Next Action
40,simon,simon-mixed-gallery-exp,사이먼 이펙트 · 랜덤 테마 · 보통,simon,3,simonPoleCount=1 all variant slides,SIGNAL: 극단에 테마 이미지(색 매핑) 1개.,SELECT: 위치가 아니라 이미지 색.,MOVE: 해당 색 패드로 이동.,simon-mixed,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,L3 themed shapes.,simon-theme,count=1,LOW,createSimonSignalGenerator L3,none
41,simon,simon-random-hard-skeleton,사이먼 이펙트 · 랜덤 테마 · 어려움,simon,3,simonPoleCount=2,SIGNAL: 극단 테마 이미지 2개.,SELECT: 각 이미지 색.,MOVE: 해당 색 패드들.,simon-mixed,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,세션 overlay 교차.,simon-theme,count=2,YES session overlay,expansion,이중 채널
42,simon,simon-camouflage-center-skeleton,사이먼 이펙트 · 카모플라쥬 · 보통,simon,4,camouflagePlacement=center IGNORED,SIGNAL: 노이즈 후 위장 도형이 드러남. MASTER는 극단(variant) 배치로 고정.,SELECT: 드러난 도형 색.,MOVE: 해당 색 패드로 반응.,simon-mixed,VERIFY,ASSET VERIFY REQUIRED,FAIL,P0,Player가 placementMode=variant 하드코딩. blackout-37과 메커니즘 충돌(cue만 다름).,simon-camo,advertised-center,YES,EngineRouter.tsx simon L4,NEW PRESET 중앙 + 기존 ID HOLD
43,simon,visual-reaction-blackout-37,사이먼 이펙트 · 카모플라쥬 · 어려움,simon,4,camouflagePlacement=variant cue=5s,SIGNAL: 노이즈 속 위장 도형이 극단에 드러남.,SELECT: 도형 색.,MOVE: 해당 색 패드로 반응.,visual-blackout,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,실행은 설명과 맞음. ID가 visual-reaction. Family visual-blackout. 센터 ID와 TRUE DUPLICATE 후보. 기본 concurrent=1이라 카탈로그 어려움이 동시2개가 아님.,simon-camo,edge+longer-cue,YES ID leftover,EngineRouter + CamouflageReactionTraining.tsx,ID 정리 / 어려움=concurrent 여부 PO
44,flanker,flanker-uniform-07,화살표 · 보통 (좌우),flanker,5,flankerArrowMode=lr (canonical; source was L1),SIGNAL: 가로 5개 흰 화살표. 가운데가 목표.,SELECT: 주변 무시. 가운데 화살표 좌/우.,MOVE: 해당 방향 패드로 이동.,flanker-uniform,VERIFY (pilot matches arrows),ASSET VERIFY REQUIRED,WARN,P1,현재 제목=런타임. 원본 description은 Uniform 원. Family=flanker-uniform. 과거 세션은 동일원 게임이었을 수 있음.,flanker-arrow-lr,canonical remap,YES P0-historical,withCanonicalFlankerCatalog + signals.ts L5,NEW PRESET 권장; 설명 정합; Family=flanker-arrow
45,flanker,flanker-arrow-udlr-exp,화살표 · 어려움 (상하좌우),flanker,5,flankerArrowMode=udlr,SIGNAL: 5개 화살표 상하좌우 풀.,SELECT: 가운데 방향만.,MOVE: 해당 방향 패드.,flanker-arrow,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,expansion 설명과 canonical L5 일치.,flanker-arrow-udlr,base,LOW,signals.ts L5 udlr,none
46,flanker,flanker-theme-color-skeleton,랜덤 자극 · 색상,flanker,2,theme=color (canonical; source L6),SIGNAL: 다섯 색 원. 가운데 목표.,SELECT: 가운데 원 색. 주변 원 무시.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,L6와 L2 시그널이 유사. 설명은 expansion 잔여 가능.,flanker-theme-row,theme=color,YES level 6→2,signals.ts flanker L2,Metadata only
47,flanker,flanker-theme-06,랜덤 자극 · 과일,flanker,2,theme=fruit,SIGNAL: 다섯 원 안 과일 이미지.,SELECT: 가운데 이미지 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,원본 L6 테마플랭커. 현재 L2.,flanker-theme-row,theme=fruit,YES,withCanonicalFlankerCatalog,Metadata only
48,flanker,flanker-theme-animal-skeleton,랜덤 자극 · 동물,flanker,2,theme=animal,SIGNAL: 다섯 원 동물 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,theme variant.,flanker-theme-row,theme=animal,LOW,expansion,none
49,flanker,flanker-theme-food-skeleton,랜덤 자극 · 음식,flanker,2,theme=food,SIGNAL: 다섯 원 음식 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,theme variant.,flanker-theme-row,theme=food,LOW,expansion,none
50,flanker,flanker-theme-nature-skeleton,랜덤 자극 · 자연,flanker,2,theme=nature,SIGNAL: 다섯 원 자연 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,theme variant.,flanker-theme-row,theme=nature,LOW,expansion,none
51,flanker,flanker-theme-vehicle-skeleton,랜덤 자극 · 탈 것,flanker,2,theme=vehicle,SIGNAL: 다섯 원 탈것 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,theme variant.,flanker-theme-row,theme=vehicle,LOW,expansion,none
52,flanker,flanker-theme-mix-skeleton,랜덤 자극 · 믹스,flanker,2,theme=mix,SIGNAL: 다섯 원 믹스 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-theme,VERIFY,ASSET VERIFY REQUIRED,PASS,P2,theme variant.,flanker-theme-row,theme=mix,LOW,expansion,none
53,flanker,flanker-nested-circles-04,극단 · 색상,flanker,3,"extremeMode=theme theme=color (was nested L4)",SIGNAL: 크기 극단인 다섯 색 원. 가운데가 목표.,SELECT: 가운데 원 색(동심원 안쪽이 아님).,MOVE: 해당 색 패드.,flanker-nested,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,ID는 원속의원. 런타임 L3 극단 색. Family=flanker-nested. 동심원 메커니즘 공개 목록에서 사라짐.,flanker-extreme-theme,theme=color,YES P0-historical,signals.ts L3 vs L4 nested,NEW PRESET nested; 이 ID HOLD 또는 설명 전면 교체
54,flanker,flanker-random-43,극단 · 과일,flanker,3,extremeMode=theme theme=fruit (was L2 random),SIGNAL: 극단 크기 다섯 원+과일 이미지.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-random,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,ID 재사용. Family=flanker-random.,flanker-extreme-theme,theme=fruit,YES P0-historical,withCanonicalFlankerCatalog,NEW PRESET / HOLD 옛 의미
55,flanker,flanker-5circle-46,극단 · 동물,flanker,3,extremeMode=theme theme=animal,SIGNAL: 극단 크기 다섯 원+동물.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-5circle,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,원본도 L3 극단이었으나 테마가 동물로 고정. Family=flanker-5circle.,flanker-extreme-theme,theme=animal,YES theme remap,canonical catalog,Metadata / Family
56,flanker,flanker-arrow-05,극단 · 음식,flanker,3,extremeMode=theme theme=food (was arrow L5),SIGNAL: 극단 크기 다섯 원+음식 이미지.,SELECT: 가운데 색(화살표 아님).,MOVE: 해당 색 패드.,flanker-arrow,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,ID·Family는 화살표. 런타임은 음식 극단 원.,flanker-extreme-theme,theme=food,YES P0-historical,canonical + signals L3,NEW PRESET 화살표 유지 시 별 ID
57,flanker,flanker-uniform-number-exp,극단 · 자연,flanker,3,extremeMode=theme theme=nature (was number L1),SIGNAL: 극단 크기 다섯 원+자연 이미지.,SELECT: 가운데 색(숫자 아님).,MOVE: 해당 색 패드.,flanker-uniform,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,숫자 플랭커 공개 소멸. expansion 설명은 숫자.,flanker-extreme-theme,theme=nature,YES P0-historical,canonical forces stimulusType color,NEW PRESET number; 이 ID HOLD
58,flanker,flanker-random-number-exp,극단 · 탈 것,flanker,3,extremeMode=theme theme=vehicle (was number L2),SIGNAL: 극단 크기 탈것 이미지 원.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-random,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,숫자→탈것.,flanker-extreme-theme,theme=vehicle,YES P0-historical,canonical,NEW PRESET / HOLD
59,flanker,flanker-5circle-number-exp,극단 · 믹스,flanker,3,extremeMode=theme theme=mix (was number L3),SIGNAL: 극단 크기 믹스 이미지 원.,SELECT: 가운데 색.,MOVE: 해당 색 패드.,flanker-5circle,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,숫자→믹스.,flanker-extreme-theme,theme=mix,YES P0-historical,canonical,NEW PRESET / HOLD
60,flanker,flanker-extreme-arrow-hard-skeleton,극단 · 화살표 · 어려움,flanker,3,extremeMode=arrow arrowMode=udlr (was L5),SIGNAL: 크기 극단인 다섯 화살표. 가운데 목표.,SELECT: 가운데 화살표 방향.,MOVE: 해당 방향 패드.,flanker-arrow,VERIFY,ASSET VERIFY REQUIRED,WARN,P1,L5 일반 화살표에서 L3 극단 화살표로 변경. 현재 제목과 런타임은 맞음.,flanker-extreme-arrow,udlr,YES level remap,signals.ts L3 extremeMode arrow,Metadata; 세션 이력 고지
61,stroop,stroop-arrow-reverse-08,색상화살표 · 보통 (기본),basic,1,color compass (NOT stroop),SIGNAL: 중앙 방향별 고정색 화살표(반응인지 색상화살표와 동일).,SELECT: 화살표 방향.,MOVE: 해당 방향 색 패드로 이동. 말하기/간섭 없음.,stroop-arrow,VERIFY,ASSET VERIFY REQUIRED,FAIL,P0,programGroup=stroop이나 engine=basic L1. 01b와 TRUE DUPLICATE. 실제 stroop L1 화살표 말하기와 다름.,rc-space-direction,misfiled,YES ID used to imply stroop,officialSpomovePresets.ts + signals.ts basic L1,기존 ID HOLD; 스트룹 화살표는 NEW PRESET
62,stroop,stroop-arrow-bg-47,단어 · 보통 (의미/잉크 전환),stroop,2,none (ID leftover arrow-bg),SIGNAL: 검정 배경에 색 단어. 잉크 색이 의미와 충돌 가능.,SELECT: 매 시행 의미 또는 잉크. 50% 역전.,MOVE: 정답을 말로 한다. 패드 이동 강제 없음.,stroop-word,VERIFY (pilot matches word L2),ASSET VERIFY REQUIRED,WARN,P1,런타임=단어 스트룹. ID는 arrow-bg. SPOMOVE 움직임 정의와 긴장. L3와 중복.,stroop-word-switch,voice,YES ID meaning changed,signals.ts stroop L2/L3,ID HOLD 검토; 움직임 레이어 PO
